MONTH,CHANNEL,REGION,SKU_CODE,SKU_CODE_CLEAN,UNITS_SOLD,GROSS_REVENUE,DISCOUNT,AD_SPEND,RETURNS_UNITS,Category,MRP,UNIT_COGS,SKU_MATCH,NET_REVENUE,GROSS_MARGIN_%,ROAS,CM2,RETURN_RATE_%,CHANNEL_CLEAN,MONTH_CLEAN
Nov-24,Flipkart,North,BEC-OTH-001,BEC-OTH-001,68,10132,827.32,0,1,Others,149,72,MATCH,9304.68,47.38%,0.00,4408.68,1.47%,Flipkart,Nov-24
Sep-24,D2C,West,  BEC-TIS-002,BEC-TIS-002,128,23040,1115.67,0,12,Tissues,180,95,MATCH,21924.33,44.54%,0.00,9764.33,9.38%,D2C,Sep-24
Apr-24,Zepto,South,BEC-CLN-004,BEC-CLN-004,268,26532,2863.67,0,12,Cleaners,99,44,MATCH,23668.33,50.18%,0.00,11876.33,4.48%,Zepto,Apr-24
Feb-25,D2C,South,BEC-TIS-002,BEC-TIS-002,125,22500,3142.13,0,20,Tissues,180,95,MATCH,19357.87,38.66%,0.00,7482.87,16.00%,D2C,Feb-25
Aug-24,Flipkart,South,BEC-CLN-004,BEC-CLN-004,154,15246,3190.62,0,7,Cleaners,99,44,MATCH,12055.38,43.79%,0.00,5279.38,4.55%,Flipkart,Aug-24
Oct-24,Flipkart,South,BEC-GB-002,BEC-GB-002,88,15752,3438.63,0,2,Garbage Bags,179,86,MATCH,12313.37,38.54%,0.00,4745.37,2.27%,Flipkart,Oct-24
Nov-24,Zepto,South,BEC-BW-001,BEC-BW-001,81,17820,3543.78,0,2,Bake & Wrap,220,118,MATCH,14276.22,33.05%,0.00,4718.22,2.47%,Zepto,Nov-24
Mar-25,Swiggy Instamart,West,BEC-CLN-004,BEC-CLN-004,269,26631,3808.56,0,16,Cleaners,99,44,MATCH,22822.44,48.14%,0.00,10986.44,5.95%,Swiggy Instamart,Mar-25
Dec-24, Zepto,South,BEC-CMB-001,BEC-CMB-001,29,20271,4072.49,0,0,Others,699,330,MATCH,16198.51,40.92%,0.00,6628.51,0.00%,Zepto,Dec-24
Apr-24,Swiggy Instamart,North,BEC-CLN-003,BEC-CLN-003,257,76843,4273.78,0,5,Cleaners,299,150,MATCH,72569.22,46.88%,0.00,34019.22,1.95%,Swiggy Instamart,Apr-24
